券種,買い目,odds,id
3連複,7-9-10,1480,20230918_中山_結果_3
3連複,2-6-8,2150,20230918_中山_結果_4
3連複,1-8-11,6870,20230918_中山_結果_5
3連複,2-5-7,910,20230918_中山_結果_6
3連複,9-11-12,79250,20230918_中山_結果_7
3連複,3-8-9,530,20230918_中山_結果_8
3連複,5-15-16,35990,20230918_中山_結果_9
3連複,6-9-10,2620,20230918_中山_結果_10
3連複,4-6-14,860,20230918_中山_結果_11
3連複,4-9-16,12620,20230918_中山_結果_12
3連複,3-10-11,13720,20230918_阪神_結果_1
3連複,1-2-5,2560,20230918_阪神_結果_2
3連複,3-5-11,1950,20230918_阪神_結果_3
3連複,1-5-7,5330,20230918_阪神_結果_4
3連複,1-5-6,1270,20230918_阪神_結果_5
3連複,10-12-16,11230,20230918_阪神_結果_6
3連複,1-6-10,650,20230918_阪神_結果_7
3連複,7-8-13,3190,20230918_阪神_結果_8
3連複,3-5-13,28140,20230918_阪神_結果_9
3連複,2-6-8,1790,20230918_阪神_結果_10
3連複,9-10-12,13700,20230918_阪神_結果_11
3連複,9-10-13,9580,20230918_阪神_結果_12
3連複,1-4-12,2010,20230923_中山_結果_1
3連複,7-11-15,18660,20230923_中山_結果_2
3連複,1-9-14,50570,20230923_中山_結果_3
3連複,3-6-14,66340,20230923_中山_結果_4
3連複,1-12-15,13480,20230923_中山_結果_5
3連複,4-5-10,4800,20230923_中山_結果_6
3連複,3-4-5,5590,20230923_中山_結果_7
3連複,2-5-7,1230,20230923_中山_結果_8
3連複,3-6-8,4380,20230923_中山_結果_9
3連複,3-6-9,1380,20230923_中山_結果_10
3連複,5-9-11,1000,20230923_中山_結果_11
3連複,5-12-16,1010,20230923_中山_結果_12
3連複,1-10-12,5890,20230923_阪神_結果_1
3連複,1-7-8,860,20230923_阪神_結果_2
3連複,5-6-9,13530,20230923_阪神_結果_3
3連複,9-10-12,125260,20230923_阪神_結果_4
3連複,8-9-13,1600,20230923_阪神_結果_5
3連複,7-9-11,3350,20230923_阪神_結果_6
3連複,3-8-12,2230,20230923_阪神_結果_7
3連複,1-3-7,2120,20230923_阪神_結果_8
3連複,7-9-16,6440,20230923_阪神_結果_9
3連複,6-8-9,1250,20230923_阪神_結果_10
3連複,12-13-14,4160,20230923_阪神_結果_11
3連複,5-9-12,6240,20230923_阪神_結果_12
3連複,2-5-7,1340,20230924_中山_結果_1
3連複,4-7-10,700,20230924_中山_結果_2
3連複,7-11-12,550,20230924_中山_結果_3
3連複,7-12-13,970,20230924_中山_結果_4
3連複,1-7-8,810,20230924_中山_結果_5
3連複,3-7-10,820,20230924_中山_結果_6
3連複,3-6-9,13390,20230924_中山_結果_7
3連複,9-11-14,2200,20230924_中山_結果_8
3連複,2-8-9,262690,20230924_中山_結果_9
3連複,2-10-13,35480,20230924_中山_結果_10
3連複,2-8-13,5380,20230924_中山_結果_11
3連複,11-14-16,8550,20230924_中山_結果_12
3連複,4-7-8,1000,20230924_阪神_結果_1
3連複,5-9-10,410,20230924_阪神_結果_2
3連複,1-6-12,5370,20230924_阪神_結果_3
3連複,1-3-8,2880,20230924_阪神_結果_4
3連複,3-4-6,880,20230924_阪神_結果_5
3連複,5-9-13,2470,20230924_阪神_結果_6
3連複,4-6-18,8320,20230924_阪神_結果_7
3連複,1-4-7,5850,20230924_阪神_結果_8
3連複,1-7-11,400,20230924_阪神_結果_9
3連複,4-6-9,143610,20230924_阪神_結果_10
3連複,3-6-7,6370,20230924_阪神_結果_11
3連複,2-4-14,4750,20230924_阪神_結果_12
3連複,4-9-11,1660,20230930_中山_結果_1
3連複,2-3-10,2770,20230930_中山_結果_2
3連複,4-14-15,11450,20230930_中山_結果_3
3連複,7-9-12,2350,20230930_中山_結果_4
3連複,4-5-15,10110,20230930_中山_結果_5
3連複,3-6-7,4030,20230930_中山_結果_6
3連複,3-9-12,2400,20230930_中山_結果_7
3連複,6-8-12,4340,20230930_中山_結果_8
3連複,3-5-7,2660,20230930_中山_結果_9
3連複,1-5-9,19160,20230930_中山_結果_10
3連複,2-3-5,60240,20230930_中山_結果_11
3連複,4-5-12,36670,20230930_中山_結果_12
3連複,1-8-9,1610,20230930_阪神_結果_1
3連複,2-5-7,220,20230930_阪神_結果_2
3連複,1-4-5,270,20230930_阪神_結果_3
3連複,5-6-7,6760,20230930_阪神_結果_4
3連複,1-3-4,3810,20230930_阪神_結果_5
3連複,5-10-11,15970,20230930_阪神_結果_6
3連複,4-7-8,2700,20230930_阪神_結果_7
3連複,7-9-13,20930,20230930_阪神_結果_8
3連複,1-2-4,1040,20230930_阪神_結果_9
3連複,1-5-15,9310,20230930_阪神_結果_10
3連複,3-7-14,2000,20230930_阪神_結果_11
3連複,11-12-14,13060,20230930_阪神_結果_12
3連複,4-12-14,11150,20231001_中山_結果_1
3連複,3-5-10,3550,20231001_中山_結果_2
3連複,1-12-13,7860,20231001_中山_結果_3
3連複,5-7-11,76290,20231001_中山_結果_4
3連複,3-4-5,2880,20231001_中山_結果_5
3連複,1-4-7,16560,20231001_中山_結果_6
3連複,1-6-13,6390,20231001_中山_結果_7
3連複,2-5-6,1630,20231001_中山_結果_8
3連複,1-10-11,14430,20231001_中山_結果_9
3連複,10-13-14,1840,20231001_中山_結果_10
3連複,1-6-10,2310,20231001_中山_結果_11
3連複,5-13-16,21200,20231001_中山_結果_12
3連複,11-12-13,21410,20231001_阪神_結果_1
3連複,7-10-11,1740,20231001_阪神_結果_2
3連複,1-10-11,1410,20231001_阪神_結果_3
3連複,2-5-11,32730,20231001_阪神_結果_4
3連複,2-5-8,1430,20231001_阪神_結果_5
3連複,2-5-12,5730,20231001_阪神_結果_6
3連複,2-4-10,2610,20231001_阪神_結果_7
3連複,4-7-8,2630,20231001_阪神_結果_8
3連複,4-7-12,860,20231001_阪神_結果_9
3連複,1-6-12,13070,20231001_阪神_結果_10
3連複,4-5-9,3140,20231001_阪神_結果_11
3連複,12-14-15,82840,20231001_阪神_結果_12
3連複,2-4-12,27910,20231007_京都_結果_1
3連複,4-13-15,13570,20231007_京都_結果_2
3連複,1-2-3,260,20231007_京都_結果_3
3連複,2-8-10,6340,20231007_京都_結果_4
3連複,7-9-18,7530,20231007_京都_結果_5
3連複,8-14-15,20350,20231007_京都_結果_6
3連複,14-15-16,86910,20231007_京都_結果_7
3連複,1-2-4,2780,20231007_京都_結果_8
3連複,2-5-9,18200,20231007_京都_結果_9
3連複,4-13-15,22650,20231007_京都_結果_10
3連複,3-6-16,19260,20231007_京都_結果_11
3連複,3-14-15,224210,20231007_京都_結果_12
3連複,3-11-14,1830,20231007_東京_結果_1
3連複,3-4-11,24530,20231007_東京_結果_2
3連複,1-13-16,2850,20231007_東京_結果_3
3連複,3-8-10,11500,20231007_東京_結果_4
3連複,4-8-11,11600,20231007_東京_結果_5
3連複,1-5-6,1790,20231007_東京_結果_6
3連複,4-11-12,2720,20231007_東京_結果_7
3連複,2-7-8,3200,20231007_東京_結果_8
3連複,4-8-12,950,20231007_東京_結果_9
3連複,5-8-12,1770,20231007_東京_結果_10
3連複,1-2-3,220,20231007_東京_結果_11
3連複,5-8-11,16920,20231007_東京_結果_12
3連複,2-7-9,28150,20231008_京都_結果_1
3連複,4-10-11,8410,20231008_京都_結果_2
3連複,9-11-16,5290,20231008_京都_結果_3
3連複,4-7-8,1560,20231008_京都_結果_4
3連複,3-6-12,6600,20231008_京都_結果_5
3連複,3-10-15,850,20231008_京都_結果_6
3連複,3-5-12,2620,20231008_京都_結果_7
3連複,4-6-17,29230,20231008_京都_結果_8
3連複,1-2-5,1990,20231008_京都_結果_9
3連複,6-10-14,13080,20231008_京都_結果_10
3連複,4-6-13,53250,20231008_京都_結果_11
3連複,3-6-12,9260,20231008_京都_結果_12
3連複,3-13-16,17230,20231008_東京_結果_1
3連複,5-8-12,460,20231008_東京_結果_2
3連複,1-3-8,1070,20231008_東京_結果_3
3連複,8-9-14,2340,20231008_東京_結果_4
3連複,5-8-12,8030,20231008_東京_結果_5
3連複,9-10-12,32280,20231008_東京_結果_6
3連複,1-8-12,3250,20231008_東京_結果_7
3連複,6-9-16,12960,20231008_東京_結果_8
3連複,3-6-8,2240,20231008_東京_結果_9
3連複,2-3-12,45130,20231008_東京_結果_10
3連複,1-6-10,1130,20231008_東京_結果_11
3連複,11-13-15,4550,20231008_東京_結果_12
3連複,2-6-10,10850,20231009_京都_結果_1
3連複,4-8-10,29050,20231009_京都_結果_2
3連複,2-6-7,3190,20231009_京都_結果_3
3連複,3-6-14,19940,20231009_京都_結果_4
3連複,3-6-9,1580,20231009_京都_結果_5
3連複,2-4-10,810,20231009_京都_結果_6
3連複,3-4-7,960,20231009_京都_結果_7
3連複,2-7-14,9530,20231009_京都_結果_8
3連複,3-4-8,1660,20231009_京都_結果_9
3連複,2-4-13,2590,20231009_京都_結果_10
3連複,4-6-7,2030,20231009_京都_結果_11
3連複,4-5-13,10400,20231009_京都_結果_12
3連複,7-11-13,1800,20231009_東京_結果_1
3連複,4-10-12,11970,20231009_東京_結果_2
3連複,1-3-4,220,20231009_東京_結果_3
3連複,1-5-9,2630,20231009_東京_結果_4
3連複,8-9-12,2310,20231009_東京_結果_5
3連複,5-6-7,3610,20231009_東京_結果_6
3連複,1-4-8,55310,20231009_東京_結果_7
3連複,3-6-7,23740,20231009_東京_結果_8
3連複,2-10-15,10170,20231009_東京_結果_9
3連複,4-5-9,5040,20231009_東京_結果_10
3連複,5-6-9,7990,20231009_東京_結果_11
3連複,5-8-12,1400,20231009_東京_結果_12
3連複,1-7-11,1490,20231014_京都_結果_1
3連複,1-2-6,1280,20231014_京都_結果_2
3連複,7-9-11,590,20231014_京都_結果_3
3連複,2-6-7,13540,20231014_京都_結果_4
3連複,2-7-10,700,20231014_京都_結果_5
3連複,2-3-10,4520,20231014_京都_結果_6
3連複,2-3-8,4600,20231014_京都_結果_7
3連複,3-4-5,260,20231014_京都_結果_8
3連複,3-6-9,15000,20231014_京都_結果_9
3連複,5-7-8,1570,20231014_京都_結果_10
3連複,3-4-12,96730,20231014_京都_結果_11
3連複,6-7-10,11390,20231014_京都_結果_12
3連複,7-9-12,9330,20231014_新潟_結果_1
3連複,5-11-12,62030,20231014_新潟_結果_2
3連複,4-5-11,13110,20231014_新潟_結果_3
3連複,1-11-12,1650,20231014_新潟_結果_4
3連複,3-4-11,12550,20231014_新潟_結果_5
3連複,7-8-11,2010,20231014_新潟_結果_6
3連複,3-6-10,22220,20231014_新潟_結果_7
3連複,4-6-10,1410,20231014_新潟_結果_8
3連複,4-5-16,3240,20231014_新潟_結果_9
3連複,2-6-9,49520,20231014_新潟_結果_10
3連複,7-9-14,62970,20231014_新潟_結果_11
3連複,1-4-9,2690,20231014_新潟_結果_12
3連複,1-4-6,3940,20231014_東京_結果_1
3連複,2-3-5,220,20231014_東京_結果_2
3連複,6-7-13,6730,20231014_東京_結果_3
3連複,2-5-9,11310,20231014_東京_結果_4
3連複,8-9-11,260,20231014_東京_結果_5
3連複,6-7-8,2510,20231014_東京_結果_6
3連複,1-2-6,1280,20231014_東京_結果_7
3連複,3-7-13,3610,20231014_東京_結果_8
3連複,6-12-13,1100,20231014_東京_結果_9
3連複,2-9-11,5520,20231014_東京_結果_10
3連複,5-7-8,13150,20231014_東京_結果_11
3連複,1-6-9,1630,20231014_東京_結果_12
3連複,3-4-6,6370,20231015_京都_結果_1
3連複,5-6-9,290,20231015_京都_結果_2
3連複,2-3-4,680,20231015_京都_結果_3
3連複,1-8-9,8910,20231015_京都_結果_4
3連複,8-10-12,1470,20231015_京都_結果_5
3連複,1-6-7,4540,20231015_京都_結果_6
3連複,6-8-9,4810,20231015_京都_結果_7
3連複,2-3-6,470,20231015_京都_結果_8
3連複,1-2-8,1340,20231015_京都_結果_9
3連複,1-4-7,590,20231015_京都_結果_10
3連複,2-6-7,1210,20231015_京都_結果_11
3連複,3-5-6,6390,20231015_京都_結果_12
3連複,1-3-8,1730,20231015_新潟_結果_1
3連複,1-4-8,6240,20231015_新潟_結果_2
3連複,1-3-4,2400,20231015_新潟_結果_3
3連複,5-8-9,1150,20231015_新潟_結果_4
3連複,3-10-17,1850,20231015_新潟_結果_5
3連複,2-7-10,5400,20231015_新潟_結果_6
3連複,11-14-16,13870,20231015_新潟_結果_7
3連複,3-6-13,35420,20231015_新潟_結果_8
3連複,3-14-16,10190,20231015_新潟_結果_9
3連複,6-12-13,890,20231015_新潟_結果_10
3連複,2-10-13,4180,20231015_新潟_結果_11
3連複,2-13-15,6950,20231015_新潟_結果_11
3連複,4-10-14,20380,20231015_新潟_結果_12
3連複,5-7-12,13870,20231015_東京_結果_1
3連複,2-4-5,220,20231015_東京_結果_2
3連複,1-6-7,1120,20231015_東京_結果_3
3連複,5-8-15,3250,20231015_東京_結果_4
3連複,2-13-14,10250,20231015_東京_結果_5
3連複,1-10-12,136050,20231015_東京_結果_6
3連複,5-7-8,1150,20231015_東京_結果_7
3連複,1-11-12,1150,20231015_東京_結果_8
3連複,5-7-9,24890,20231015_東京_結果_9
3連複,6-7-11,73010,20231015_東京_結果_10
3連複,1-8-11,4540,20231015_東京_結果_11
3連複,2-4-9,19920,20231015_東京_結果_12
3連複,3-4-10,2660,20231021_京都_結果_1
3連複,1-5-8,500,20231021_京都_結果_2
3連複,2-8-16,60300,20231021_京都_結果_3
3連複,5-8-14,15920,20231021_京都_結果_4
3連複,5-9-11,8810,20231021_京都_結果_5
3連複,2-9-14,14360,20231021_京都_結果_6
3連複,3-5-7,10310,20231021_京都_結果_7
3連複,1-6-8,320,20231021_京都_結果_8
3連複,12-14-16,36940,20231021_京都_結果_9
3連複,4-5-6,4710,20231021_京都_結果_10
3連複,2-11-13,3560,20231021_京都_結果_11
3連複,4-13-15,7260,20231021_京都_結果_12
3連複,3-6-13,3530,20231021_新潟_結果_1
3連複,7-8-14,2360,20231021_新潟_結果_2
3連複,4-8-14,560,20231021_新潟_結果_3
3連複,2-3-4,12070,20231021_新潟_結果_4
3連複,10-16-17,30140,20231021_新潟_結果_5
3連複,1-6-10,3900,20231021_新潟_結果_6
3連複,6-13-17,20650,20231021_新潟_結果_7
3連複,6-10-12,2400,20231021_新潟_結果_8
3連複,8-9-14,4960,20231021_新潟_結果_9
3連複,2-4-8,5730,20231021_新潟_結果_10
3連複,1-6-12,39590,20231021_新潟_結果_11
3連複,8-13-15,5690,20231021_新潟_結果_12
3連複,4-11-13,24370,20231021_東京_結果_1
3連複,2-3-9,181130,20231021_東京_結果_2
3連複,3-5-8,620,20231021_東京_結果_3
3連複,7-9-13,10620,20231021_東京_結果_4
3連複,2-6-16,3320,20231021_東京_結果_5
3連複,4-9-10,830,20231021_東京_結果_6
3連複,8-10-15,84000,20231021_東京_結果_7
3連複,2-9-12,45510,20231021_東京_結果_8
3連複,1-3-6,310,20231021_東京_結果_9
3連複,4-12-16,1540,20231021_東京_結果_10
3連複,4-6-9,6060,20231021_東京_結果_11
3連複,1-6-7,3780,20231021_東京_結果_12
3連複,4-7-8,260,20231022_京都_結果_1
3連複,2-3-4,800,20231022_京都_結果_2
3連複,6-8-10,1210,20231022_京都_結果_3
3連複,1-2-11,35600,20231022_京都_結果_4
3連複,3-5-8,36380,20231022_京都_結果_5
3連複,1-5-15,7840,20231022_京都_結果_6
3連複,1-7-11,74980,20231022_京都_結果_7
3連複,1-2-4,5730,20231022_京都_結果_8
3連複,1-4-6,3210,20231022_京都_結果_9
3連複,8-12-13,1220,20231022_京都_結果_10
3連複,7-14-17,1570,20231022_京都_結果_11
3連複,2-10-13,1870,20231022_京都_結果_12
3連複,6-8-9,1420,20231022_新潟_結果_1
3連複,3-6-9,1690,20231022_新潟_結果_2
3連複,6-7-12,8620,20231022_新潟_結果_3
3連複,5-10-11,4090,20231022_新潟_結果_4
3連複,7-8-15,11680,20231022_新潟_結果_5
3連複,1-4-12,14340,20231022_新潟_結果_6
3連複,2-3-5,32080,20231022_新潟_結果_7
3連複,5-8-10,290,20231022_新潟_結果_8
3連複,2-7-9,1960,20231022_新潟_結果_9
3連複,4-5-8,4600,20231022_新潟_結果_10
3連複,1-2-3,4850,20231022_新潟_結果_11
3連複,4-16-18,48620,20231022_新潟_結果_12
3連複,4-5-6,173110,20231022_東京_結果_1
3連複,4-6-8,14760,20231022_東京_結果_2
3連複,5-6-7,370,20231022_東京_結果_3
3連複,3-4-13,18440,20231022_東京_結果_4
3連複,9-13-15,14220,20231022_東京_結果_5
3連複,4-6-8,1880,20231022_東京_結果_6
3連複,3-9-10,2820,20231022_東京_結果_7
3連複,3-11-13,830,20231022_東京_結果_8
3連複,3-4-7,12970,20231022_東京_結果_9
3連複,1-9-14,11260,20231022_東京_結果_10
3連複,10-13-15,10830,20231022_東京_結果_11
3連複,1-2-16,45400,20231022_東京_結果_12
3連複,7-9-10,10710,20231028_京都_結果_1
3連複,5-6-7,3650,20231028_京都_結果_2
3連複,2-3-6,2010,20231028_京都_結果_3
3連複,2-4-5,9920,20231028_京都_結果_4
3連複,5-9-11,11720,20231028_京都_結果_5
3連複,1-4-6,1740,20231028_京都_結果_6
3連複,3-7-8,16990,20231028_京都_結果_7
3連複,2-4-5,1470,20231028_京都_結果_8
3連複,1-8-13,1560,20231028_京都_結果_9
3連複,6-11-13,9170,20231028_京都_結果_10
3連複,3-15-18,82160,20231028_京都_結果_11
3連複,4-8-13,18790,20231028_京都_結果_12
3連複,2-4-14,3880,20231028_新潟_結果_1
3連複,2-11-12,1450,20231028_新潟_結果_2
3連複,1-8-9,700,20231028_新潟_結果_3
3連複,2-10-14,131200,20231028_新潟_結果_4
3連複,3-14-16,9760,20231028_新潟_結果_5
3連複,8-11-15,10940,20231028_新潟_結果_6
3連複,9-10-16,48910,20231028_新潟_結果_7
3連複,1-7-13,8220,20231028_新潟_結果_8
3連複,8-9-12,12050,20231028_新潟_結果_9
3連複,5-7-14,122670,20231028_新潟_結果_10
3連複,4-5-9,150970,20231028_新潟_結果_11
3連複,5-6-8,7150,20231028_新潟_結果_12
3連複,4-7-10,1050,20231028_東京_結果_1
3連複,1-4-12,5430,20231028_東京_結果_2
3連複,3-4-9,660,20231028_東京_結果_3
3連複,3-10-12,6880,20231028_東京_結果_4
3連複,7-9-11,15140,20231028_東京_結果_5
3連複,8-9-11,2640,20231028_東京_結果_5
3連複,4-8-12,16750,20231028_東京_結果_6
3連複,5-12-14,8250,20231028_東京_結果_7
3連複,2-6-8,1730,20231028_東京_結果_8
3連複,4-5-6,5740,20231028_東京_結果_9
3連複,3-4-10,2490,20231028_東京_結果_10
3連複,4-8-9,810,20231028_東京_結果_11
3連複,1-5-6,1390,20231028_東京_結果_12
3連複,1-2-5,3200,20231029_京都_結果_1
3連複,3-7-9,5300,20231029_京都_結果_2
3連複,5-7-13,2820,20231029_京都_結果_3
3連複,1-6-9,5480,20231029_京都_結果_4
3連複,6-8-11,1530,20231029_京都_結果_5
3連複,4-5-9,3380,20231029_京都_結果_6
3連複,2-4-7,1290,20231029_京都_結果_7
3連複,8-13-14,5680,20231029_京都_結果_8
3連複,5-7-8,1390,20231029_京都_結果_9
3連複,2-8-15,6350,20231029_京都_結果_10
3連複,9-11-16,10310,20231029_京都_結果_11
3連複,3-11-13,32780,20231029_京都_結果_12
3連複,5-6-12,17620,20231029_新潟_結果_1
3連複,3-5-15,22260,20231029_新潟_結果_2
3連複,8-10-13,810,20231029_新潟_結果_3
3連複,1-3-9,5500,20231029_新潟_結果_4
3連複,2-11-15,50420,20231029_新潟_結果_5
3連複,4-8-9,21410,20231029_新潟_結果_6
3連複,3-6-9,3180,20231029_新潟_結果_7
3連複,4-7-8,9110,20231029_新潟_結果_8
3連複,1-6-10,4380,20231029_新潟_結果_9
3連複,6-8-13,9110,20231029_新潟_結果_10
3連複,2-8-14,273970,20231029_新潟_結果_11
3連複,1-4-7,29550,20231029_新潟_結果_12
3連複,4-5-9,2790,20231029_東京_結果_1
3連複,1-9-10,450,20231029_東京_結果_2
3連複,1-5-8,4310,20231029_東京_結果_3
3連複,2-11-14,521920,20231029_東京_結果_4
3連複,2-3-10,9580,20231029_東京_結果_5
3連複,2-3-11,1730,20231029_東京_結果_6
3連複,2-6-7,2910,20231029_東京_結果_7
3連複,2-6-7,1320,20231029_東京_結果_8
3連複,3-6-7,1300,20231029_東京_結果_9
3連複,1-6-10,8000,20231029_東京_結果_10
3連複,6-7-9,2180,20231029_東京_結果_11
3連複,12-13-14,37760,20231029_東京_結果_12
3連複,1-11-15,43450,20231104_京都_結果_1
3連複,3-8-11,230,20231104_京都_結果_2
3連複,8-10-12,2650,20231104_京都_結果_3
3連複,4-5-7,1800,20231104_京都_結果_4
3連複,4-9-10,5480,20231104_京都_結果_5
3連複,4-11-12,4570,20231104_京都_結果_6
3連複,3-6-10,4930,20231104_京都_結果_7
3連複,5-7-10,1770,20231104_京都_結果_8
3連複,1-6-8,2680,20231104_京都_結果_9
3連複,6-8-16,35620,20231104_京都_結果_10
3連複,1-6-11,364770,20231104_京都_結果_11
3連複,1-9-10,2140,20231104_京都_結果_12
3連複,2-5-8,330,20231104_東京_結果_1
3連複,3-5-14,16630,20231104_東京_結果_2
3連複,5-6-12,2290,20231104_東京_結果_3
3連複,1-2-12,790,20231104_東京_結果_4
3連複,3-4-7,3290,20231104_東京_結果_5
3連複,3-10-15,410,20231104_東京_結果_6
3連複,4-10-11,8800,20231104_東京_結果_7
3連複,2-7-12,47330,20231104_東京_結果_8
3連複,2-8-12,1770,20231104_東京_結果_9
3連複,3-8-10,4500,20231104_東京_結果_10
3連複,2-3-7,16220,20231104_東京_結果_11
3連複,2-7-8,2480,20231104_東京_結果_12
3連複,7-8-15,4320,20231104_福島_結果_1
3連複,1-7-11,580,20231104_福島_結果_2
3連複,1-3-11,25950,20231104_福島_結果_3
3連複,4-6-9,2820,20231104_福島_結果_4
3連複,2-12-14,1910,20231104_福島_結果_5
3連複,6-8-13,4650,20231104_福島_結果_6
3連複,5-6-13,1780,20231104_福島_結果_7
3連複,1-3-5,1120,20231104_福島_結果_8
3連複,6-9-12,394450,20231104_福島_結果_9
3連複,3-7-15,40250,20231104_福島_結果_10
3連複,1-2-8,35110,20231104_福島_結果_11
3連複,3-7-10,2730,20231104_福島_結果_12
3連複,3-4-13,7430,20231105_京都_結果_1
3連複,3-4-5,14780,20231105_京都_結果_2
3連複,6-8-9,11200,20231105_京都_結果_3
3連複,2-4-6,1320,20231105_京都_結果_4
3連複,1-2-4,4040,20231105_京都_結果_5
3連複,6-7-14,1800,20231105_京都_結果_6
3連複,3-8-10,22050,20231105_京都_結果_7
3連複,1-4-10,8920,20231105_京都_結果_8
3連複,6-8-9,18670,20231105_京都_結果_9
3連複,1-4-13,4130,20231105_京都_結果_10
3連複,7-14-15,2590,20231105_京都_結果_11
3連複,4-6-11,30870,20231105_京都_結果_12
3連複,2-3-13,178180,20231105_東京_結果_1
3連複,4-6-8,1220,20231105_東京_結果_2
3連複,1-3-5,3070,20231105_東京_結果_3
3連複,2-4-6,330,20231105_東京_結果_4
3連複,4-5-9,3640,20231105_東京_結果_5
3連複,4-5-11,3170,20231105_東京_結果_6
3連複,7-10-12,2440,20231105_東京_結果_7
3連複,3-8-13,2670,20231105_東京_結果_8
3連複,4-5-7,2080,20231105_東京_結果_9
3連複,5-10-13,3820,20231105_東京_結果_10
3連複,4-9-17,990,20231105_東京_結果_11
3連複,9-14-17,1790,20231105_東京_結果_11
3連複,7-9-12,510,20231105_東京_結果_12
3連複,5-10-12,260,20231105_福島_結果_1
3連複,2-5-13,2080,20231105_福島_結果_2
3連複,1-7-12,97600,20231105_福島_結果_3
3連複,1-8-10,1560,20231105_福島_結果_4
3連複,1-4-5,940,20231105_福島_結果_5
3連複,2-6-12,1500,20231105_福島_結果_6
3連複,2-3-6,4490,20231105_福島_結果_7
3連複,1-5-13,5900,20231105_福島_結果_8
3連複,10-11-12,11310,20231105_福島_結果_9
3連複,1-10-11,56380,20231105_福島_結果_10
3連複,9-11-16,116330,20231105_福島_結果_11
3連複,7-10-11,9560,20231105_福島_結果_12
3連複,2-11-14,12980,20231111_京都_結果_1
3連複,2-7-8,590,20231111_京都_結果_2
3連複,2-3-6,2250,20231111_京都_結果_3
3連複,7-10-11,1940,20231111_京都_結果_4
3連複,7-10-11,1920,20231111_京都_結果_5
3連複,3-5-10,2310,20231111_京都_結果_6
3連複,10-11-13,1840,20231111_京都_結果_7
3連複,1-9-11,5350,20231111_京都_結果_8
3連複,9-11-14,2520,20231111_京都_結果_9
3連複,11-12-14,4050,20231111_京都_結果_10
3連複,2-3-10,39580,20231111_京都_結果_11
3連複,6-11-12,10840,20231111_京都_結果_12
3連複,3-13-15,10660,20231111_東京_結果_1
3連複,4-7-8,1590,20231111_東京_結果_2
3連複,1-2-10,560,20231111_東京_結果_3
3連複,5-12-13,87470,20231111_東京_結果_4
3連複,3-6-9,520,20231111_東京_結果_5
3連複,8-9-12,1380,20231111_東京_結果_6
3連複,2-11-13,4330,20231111_東京_結果_7
3連複,5-10-16,18510,20231111_東京_結果_8
3連複,1-4-13,265490,20231111_東京_結果_9
3連複,5-14-15,7870,20231111_東京_結果_10
3連複,3-4-12,7660,20231111_東京_結果_11
3連複,2-5-6,960,20231111_東京_結果_12
3連複,8-10-11,1830,20231111_福島_結果_1
3連複,6-7-10,11990,20231111_福島_結果_2
3連複,1-5-8,3810,20231111_福島_結果_3
3連複,2-5-15,4010,20231111_福島_結果_4
3連複,5-12-15,3260,20231111_福島_結果_5
3連複,2-5-11,5580,20231111_福島_結果_6
3連複,7-8-16,22570,20231111_福島_結果_7
